Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.04     0.04 100000000     0.00     0.00  std::_List_const_iterator<std::__cxx11::list<int, std::allocator<int> > >::operator++()
 16.67      0.06     0.01        2     7.50     7.50  std::__cxx11::_List_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::~_List_base()
 11.11      0.07     0.01    20000     0.00     0.00  void std::__advance<std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >, long>(std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >&, long, std::bidirectional_iterator_tag)
 11.11      0.08     0.01    20000     0.00     0.00  void std::__advance<std::_List_const_iterator<std::__cxx11::list<int, std::allocator<int> > >, long>(std::_List_const_iterator<std::__cxx11::list<int, std::allocator<int> > >&, long, std::bidirectional_iterator_tag)
  5.56      0.09     0.01 100221953     0.00     0.00  std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >::operator++()
  5.56      0.09     0.01                             std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >::operator--()
  0.00      0.09     0.00    96383     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.09     0.00    90078     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.09     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.09     0.00    70000     0.00     0.00  int* std::__niter_base<int*>(int*)
  0.00      0.09     0.00    66383     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.09     0.00    60006     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.09     0.00    60002     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.09     0.00    60001     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.09     0.00    60001     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.09     0.00    60001     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.09     0.00    60001     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.09     0.00    60000     0.00     0.00  __gnu_cxx::__aligned_membuf<std::__cxx11::list<int, std::allocator<int> > >::_M_ptr()
  0.00      0.09     0.00    60000     0.00     0.00  __gnu_cxx::__aligned_membuf<std::__cxx11::list<int, std::allocator<int> > >::_M_addr()
  0.00      0.09     0.00    60000     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.09     0.00    60000     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.09     0.00    60000     0.00     0.00  std::_List_node<std::__cxx11::list<int, std::allocator<int> > >::_M_valptr()
  0.00      0.09     0.00    60000     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.09     0.00    60000     0.00     0.00  std::_List_const_iterator<int>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.09     0.00    60000     0.00     0.00  std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > >::operator[](unsigned long)
  0.00      0.09     0.00    60000     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.09     0.00    60000     0.00     0.00  std::operator!=(std::_List_const_iterator<int> const&, std::_List_const_iterator<int> const&)
  0.00      0.09     0.00    59149     0.00     0.00  std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.00      0.09     0.00    50000     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  0.00      0.09     0.00    46384     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.09     0.00    46384     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.09     0.00    46383     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.09     0.00    40157     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.09     0.00    40001     0.00     0.00  std::_List_iterator<std::__cxx11::list<int, std::allocator<int> > >::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.09     0.00    40000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.09     0.00    40000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.09     0.00    40000     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.09     0.00    40000     0.00     0.00  std::_Bit_reference::operator bool() const
  0.00      0.09     0.00    40000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.09     0.00    40000     0.00     0.00  std::__cxx11::_List_base<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::_M_get_Node_allocator()
  0.00      0.09     0.00    40000     0.00     0.00  std::__cxx11::_List_base<int, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.09     0.00    40000     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.09     0.00    36383     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.09     0.00    36383     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.09     0.00    36383     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.09     0.00    36383     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.09     0.00    36383     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.09     0.00    36383     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.09     0.00    36383     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.09     0.00    36383     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.09     0.00    32766     0.00     0.00  std::remove_reference<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      0.09     0.00    32766     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      0.09     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<std::__cxx11::list<int, std::allocator<int> > >::_M_ptr() const
  0.00      0.09     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<std::__cxx11::list<int, std::allocator<int> > >::_M_addr() const
  0.00      0.09     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      0.09     0.00    30000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.00      0.09     0.00    30000     0.00     0.00  std::_List_node<std::__cxx11::list<int, std::allocator<int> > >::_M_valptr() const
  0.00      0.09     0.00    30000     0.00     0.00  std::_List_node<int>::_M_valptr() const
  0.00      0.09     0.00    30000     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.09     0.00    30000     0.00     0.00  std::_List_const_iterator<std::__cxx11::list<int, std::allocator<int> > >::operator*() const
  0.00      0.09     0.00    30000     0.00     0.00  std::_List_const_iterator<int>::operator*() const
  0.00      0.09     0.00    30000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end() const
  0.00      0.09     0.00    30000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin() const
  0.00      0.09     0.00    30000     0.00     0.00  std::_List_const_iterator<int>::operator++()
  0.00      0.09     0.00    20109     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.09     0.00    20079     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.09     0.00    20079     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.09     0.00    20079     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.09     0.00    20079     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.09     0.00    20078     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.09     0.00    20078     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.09     0.00    20015     0.00     0.00  std::vector<int, std::allocator<int> > const& std::forward<std::vector<int, std::allocator<int> > const&>(std::remove_reference<std::vector<int, std::allocator<int> > const&>::type&)
  0.00      0.09     0.00    20002     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int> const*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.09     0.00    20002     0.00     0.00  std::__detail::_List_node_header::_M_init()
  0.00      0.09     0.00    20002     0.00     0.00  std::__detail::_List_node_header::_List_node_header()
  0.00      0.09     0.00    20001     0.00     0.00  std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::begin() const
  0.00      0.09     0.00    20001     0.00     0.00  std::_List_const_iterator<std::__cxx11::list<int, std::allocator<int> > >::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.09     0.00    20001     0.00     0.00  std::__cxx11::list<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::begin()
  0.00      0.09     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::deallocate(std::_List_node<std::__cxx11::list<int, std::allocator<int> > >*, unsigned long)
  0.00      0.09     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::destroy<std::__cxx11::list<int, std::allocator<int> > >(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.09     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::allocate(unsigned long, void const*)
  0.00      0.09     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<std::__cxx11::list<int, std::allocator<int> > > >::construct<std::__cxx11::list<int, std::allocator<int> >>(std::__cxx11::list<int, std::allocator<int> >*)
  0.00      0.09     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.09     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.09     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.09     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.09     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.09     0.00    20000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
